, ,aya,sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
40,12.0,34,2,0.0,1.0,1.0,0.0,3.0,1.0,10.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,8.0,3.0,4.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,25.0,4.0,11.0,1.0,8.0,112.0,13.0,16.0,2.0,2.0,2.0,5.0
41,18.0,35,2,0.0,1.0,1.0,0.0,0.0,1.0,14.0,1.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,7.0,5.0,8.0,3.0,6.0,0.0,3.0,1.0,0.0,0.0,36.0,8.0,7.0,3.0,10.0,145.0,19.0,16.0,2.0,6.0,3.0,6.0
42,18.0,36,2,0.0,0.0,3.0,0.0,1.0,0.0,13.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,5.0,0.0,4.0,2.0,3.0,7.0,8.0,5.0,5.0,5.0,1.0,4.0,0.0,3.0,2.0,31.0,10.0,9.0,5.0,12.0,158.0,19.0,18.0,0.0,2.0,4.0,5.0
43,10.0,37,2,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,19.0,5.0,7.0,6.0,2.0,83.0,11.0,8.0,1.0,4.0,2.0,2.0
44,16.0,38,2,0.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,4.0,8.0,7.0,6.0,4.0,1.0,7.0,2.0,1.0,0.0,24.0,7.0,9.0,3.0,11.0,125.0,17.0,12.0,0.0,2.0,7.0,4.0
45,9.0,39,2,0.0,1.0,2.0,0.0,0.0,1.0,10.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,4.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,19.0,6.0,7.0,3.0,2.0,88.0,10.0,13.0,2.0,1.0,3.0,6.0
46,13.0,40,2,0.0,0.0,3.0,0.0,2.0,1.0,8.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,3.0,4.0,4.0,3.0,7.0,0.0,9.0,0.0,0.0,0.0,20.0,8.0,13.0,2.0,12.0,124.0,14.0,13.0,1.0,3.0,9.0,7.0
47,17.0,41,2,0.0,2.0,2.0,0.0,1.0,0.0,14.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,7.0,7.0,5.0,1.0,10.0,0.0,5.0,3.0,0.0,1.0,30.0,8.0,12.0,4.0,4.0,141.0,18.0,19.0,2.0,6.0,5.0,10.0
48,7.0,42,2,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,4.0,2.0,8.0,76.0,8.0,8.0,0.0,5.0,0.0,6.0
49,6.0,43,2,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,16.0,3.0,3.0,3.0,1.0,67.0,7.0,12.0,1.0,3.0,2.0,6.0
50,9.0,44,2,0.0,0.0,5.0,0.0,0.0,0.0,6.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0,3.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,5.0,2.0,11.0,102.0,10.0,11.0,0.0,7.0,0.0,6.0
51,7.0,45,2,0.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,17.0,1.0,9.0,4.0,3.0,82.0,8.0,12.0,0.0,3.0,3.0,4.0
52,7.0,46,2,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,14.0,7.0,6.0,5.0,4.0,74.0,8.0,6.0,0.0,0.0,3.0,4.0
53,11.0,47,2,0.0,0.0,2.0,0.0,1.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,7.0,5.0,5.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,20.0,6.0,8.0,3.0,10.0,105.0,12.0,11.0,1.0,4.0,8.0,2.0
54,18.0,48,2,0.0,0.0,0.0,1.0,0.0,1.0,11.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,6.0,4.0,7.0,3.0,7.0,0.0,6.0,2.0,3.0,1.0,25.0,8.0,3.0,1.0,13.0,125.0,19.0,11.0,2.0,3.0,6.0,7.0
55,17.0,49,2,4.0,1.0,1.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,6.0,4.0,10.0,10.0,0.0,9.0,0.0,7.0,0.0,2.0,0.0,29.0,12.0,12.0,3.0,16.0,158.0,18.0,9.0,5.0,1.0,7.0,9.0
56,9.0,50,2,0.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,22.0,6.0,3.0,0.0,14.0,95.0,10.0,9.0,1.0,2.0,1.0,5.0
57,11.0,51,2,0.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,19.0,6.0,7.0,2.0,11.0,99.0,12.0,9.0,0.0,4.0,2.0,5.0
58,7.0,52,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,3.0,2.0,7.0,60.0,8.0,1.0,0.0,1.0,0.0,2.0
59,6.0,53,2,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,16.0,4.0,2.0,1.0,7.0,67.0,7.0,8.0,1.0,4.0,1.0,4.0
60,26.0,54,2,0.0,0.0,2.0,0.0,4.0,2.0,14.0,6.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,4.0,9.0,12.0,15.0,5.0,3.0,9.0,2.0,4.0,0.0,1.0,0.0,35.0,22.0,19.0,6.0,21.0,225.0,27.0,22.0,2.0,6.0,4.0,9.0
61,14.0,55,2,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,6.0,5.0,7.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,25.0,10.0,3.0,3.0,10.0,112.0,15.0,10.0,1.0,7.0,1.0,4.0
