sura,ء,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ـ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,ٓ,ٔ,ٰ,ٱ,ۜ,۟,۠,ۢ,ۣ,ۥ,ۦ,ۨ,۪,۫,۬,ۭ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
76,10.0,21.0,3.0,21.0,2.0,134.0,35.0,11.0,24.0,6.0,14.0,12.0,8.0,18.0,15.0,65.0,9.0,31.0,17.0,4.0,5.0,12.0,2.0,26.0,1.0,3.0,26.0,15.0,37.0,91.0,74.0,86.0,52.0,76.0,11.0,78.0,58.0,5.0,9.0,387.0,103.0,140.0,63.0,114.0,15.0,3.0,25.0,23.0,0.0,4.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2013.0,243.0,235.0,18.0,35.0,82.0,78.0
77,5.0,16.0,2.0,14.0,10.0,52.0,22.0,0.0,28.0,4.0,12.0,3.0,3.0,9.0,36.0,32.0,1.0,8.0,7.0,7.0,1.0,4.0,3.0,22.0,1.0,1.0,29.0,18.0,37.0,104.0,74.0,67.0,17.0,71.0,13.0,62.0,14.0,14.0,25.0,276.0,90.0,138.0,52.0,112.0,8.0,1.0,29.0,26.0,0.0,7.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1592.0,181.0,150.0,18.0,28.0,63.0,73.0
78,9.0,17.0,0.0,10.0,2.0,124.0,39.0,1.0,27.0,3.0,19.0,12.0,6.0,11.0,12.0,26.0,6.0,16.0,5.0,7.0,2.0,3.0,2.0,19.0,3.0,3.0,23.0,17.0,26.0,70.0,52.0,61.0,18.0,61.0,5.0,38.0,49.0,0.0,2.0,314.0,58.0,79.0,53.0,77.0,11.0,3.0,24.0,23.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1454.0,173.0,203.0,14.0,28.0,40.0,61.0
79,9.0,31.0,0.0,16.0,1.0,66.0,26.0,19.0,20.0,4.0,11.0,12.0,12.0,16.0,14.0,41.0,4.0,19.0,10.0,2.0,3.0,7.0,1.0,19.0,4.0,1.0,29.0,11.0,23.0,66.0,48.0,46.0,38.0,42.0,43.0,24.0,13.0,7.0,1.0,351.0,55.0,83.0,48.0,80.0,13.0,1.0,55.0,34.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1485.0,179.0,245.0,11.0,39.0,25.0,44.0
80,8.0,25.0,0.0,6.0,6.0,42.0,19.0,16.0,18.0,4.0,6.0,5.0,6.0,5.0,9.0,30.0,3.0,10.0,9.0,6.0,4.0,3.0,1.0,13.0,4.0,0.0,22.0,13.0,21.0,35.0,43.0,33.0,35.0,32.0,15.0,26.0,11.0,9.0,13.0,252.0,55.0,56.0,47.0,55.0,16.0,0.0,18.0,13.0,0.0,1.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,1097.0,133.0,119.0,14.0,34.0,29.0,44.0
81,6.0,9.0,0.0,18.0,1.0,33.0,15.0,3.0,20.0,1.0,9.0,8.0,1.0,4.0,19.0,18.0,2.0,16.0,11.0,3.0,2.0,4.0,0.0,12.0,1.0,0.0,8.0,8.0,9.0,45.0,27.0,30.0,7.0,36.0,4.0,17.0,0.0,2.0,11.0,145.0,58.0,70.0,29.0,53.0,7.0,0.0,3.0,24.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,812.0,104.0,91.0,7.0,23.0,17.0,38.0
82,2.0,7.0,0.0,8.0,2.0,28.0,14.0,1.0,12.0,3.0,3.0,3.0,2.0,8.0,7.0,19.0,0.0,6.0,2.0,2.0,0.0,1.0,1.0,8.0,2.0,1.0,13.0,3.0,18.0,31.0,27.0,23.0,5.0,22.0,8.0,21.0,2.0,2.0,5.0,137.0,23.0,47.0,27.0,39.0,7.0,1.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,80.0,74.0,5.0,13.0,21.0,22.0
83,4.0,17.0,1.0,15.0,5.0,64.0,28.0,1.0,19.0,5.0,8.0,6.0,3.0,5.0,20.0,30.0,3.0,14.0,2.0,1.0,4.0,2.0,5.0,18.0,1.0,0.0,19.0,13.0,32.0,76.0,63.0,70.0,26.0,68.0,14.0,55.0,1.0,8.0,11.0,258.0,95.0,115.0,60.0,70.0,16.0,0.0,19.0,27.0,0.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1415.0,169.0,156.0,10.0,20.0,57.0,70.0
84,4.0,16.0,1.0,12.0,1.0,41.0,24.0,0.0,16.0,1.0,2.0,8.0,1.0,5.0,10.0,24.0,0.0,14.0,3.0,3.0,1.0,2.0,2.0,8.0,1.0,0.0,13.0,15.0,11.0,39.0,27.0,31.0,23.0,36.0,7.0,25.0,9.0,2.0,4.0,177.0,49.0,64.0,30.0,40.0,7.0,0.0,11.0,13.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,848.0,107.0,100.0,6.0,16.0,30.0,41.0
85,4.0,6.0,4.0,6.0,2.0,24.0,14.0,0.0,14.0,3.0,7.0,9.0,1.0,22.0,12.0,15.0,3.0,2.0,8.0,2.0,1.0,2.0,1.0,14.0,1.0,0.0,11.0,6.0,8.0,57.0,38.0,28.0,24.0,49.0,8.0,26.0,0.0,9.0,6.0,140.0,67.0,70.0,26.0,58.0,3.0,0.0,12.0,31.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,865.0,109.0,87.0,10.0,14.0,26.0,51.0
86,3.0,4.0,0.0,5.0,2.0,24.0,6.0,1.0,4.0,1.0,4.0,1.0,3.0,9.0,2.0,15.0,1.0,5.0,0.0,4.0,1.0,2.0,2.0,5.0,0.0,0.0,8.0,9.0,7.0,33.0,19.0,16.0,11.0,15.0,3.0,12.0,3.0,4.0,5.0,82.0,24.0,43.0,21.0,28.0,6.0,0.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,478.0,61.0,55.0,5.0,5.0,13.0,18.0
87,3.0,7.0,1.0,5.0,1.0,14.0,8.0,2.0,6.0,3.0,4.0,7.0,6.0,4.0,9.0,19.0,1.0,10.0,3.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,13.0,6.0,9.0,34.0,12.0,13.0,10.0,17.0,24.0,16.0,1.0,1.0,0.0,133.0,26.0,27.0,26.0,35.0,5.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,572.0,72.0,88.0,5.0,8.0,17.0,19.0
88,2.0,6.0,0.0,12.0,2.0,32.0,13.0,16.0,11.0,4.0,6.0,4.0,2.0,1.0,6.0,17.0,1.0,10.0,2.0,5.0,4.0,3.0,1.0,18.0,3.0,0.0,16.0,3.0,10.0,35.0,26.0,23.0,13.0,23.0,11.0,31.0,3.0,17.0,9.0,144.0,35.0,58.0,23.0,42.0,3.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,92.0,76.0,4.0,27.0,31.0,23.0
