sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
101,0.0,0.0,5.0,0.0,0.0,0.0,30.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,8.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,4.0,6.0,11.0,16.0,10.0,8.0,13.0,0.0,10.0,160.0,36.0,35.0,0.0,10.0,10.0,13.0
102,0.0,0.0,2.0,0.0,0.0,1.0,13.0,1.0,0.0,9.0,4.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,3.0,5.0,19.0,13.0,11.0,2.0,9.0,1.0,8.0,123.0,28.0,16.0,1.0,9.0,8.0,9.0
103,0.0,1.0,0.0,0.0,3.0,0.0,16.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,10.0,2.0,5.0,0.0,10.0,0.0,2.0,73.0,14.0,20.0,1.0,3.0,2.0,10.0
104,0.0,0.0,4.0,1.0,1.0,1.0,16.0,2.0,8.0,2.0,0.0,1.0,3.0,1.0,10.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,3.0,1.0,3.0,20.0,15.0,5.0,7.0,4.0,1.0,8.0,134.0,33.0,22.0,2.0,10.0,8.0,4.0
105,0.0,0.0,6.0,0.0,0.0,0.0,5.0,6.0,1.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,6.0,0.0,5.0,14.0,9.0,1.0,4.0,2.0,0.0,11.0,97.0,23.0,11.0,0.0,4.0,11.0,2.0
106,1.0,1.0,1.0,0.0,2.0,0.0,9.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,9.0,7.0,3.0,4.0,5.0,0.0,7.0,77.0,17.0,13.0,2.0,3.0,7.0,5.0
107,1.0,0.0,2.0,0.0,0.0,0.0,14.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,3.0,16.0,9.0,11.0,4.0,7.0,1.0,16.0,114.0,25.0,17.0,1.0,3.0,16.0,7.0
108,0.0,0.0,2.0,0.0,2.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,5.0,1.0,3.0,0.0,1.0,43.0,10.0,10.0,1.0,1.0,1.0,3.0
109,0.0,0.0,7.0,0.0,0.0,0.0,16.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0,8.0,9.0,9.0,1.0,8.0,0.0,5.0,99.0,27.0,23.0,0.0,4.0,5.0,8.0
110,1.0,0.0,2.0,0.0,2.0,0.0,13.0,4.0,0.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,7.0,1.0,6.0,4.0,6.0,0.0,4.0,80.0,19.0,17.0,1.0,4.0,4.0,6.0
111,0.0,0.0,3.0,0.0,0.0,0.0,11.0,8.0,1.0,5.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,4.0,6.0,3.0,2.0,5.0,81.0,23.0,16.0,0.0,6.0,5.0,3.0
112,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,4.0,1.0,4.0,5.0,0.0,3.0,47.0,15.0,6.0,0.0,0.0,3.0,5.0
113,0.0,0.0,1.0,0.0,2.0,0.0,10.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,0.0,6.0,5.0,5.0,0.0,5.0,0.0,1.0,73.0,23.0,13.0,0.0,1.0,1.0,5.0
114,0.0,0.0,1.0,0.0,1.0,0.0,16.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12.0,3.0,9.0,1.0,7.0,0.0,3.0,80.0,20.0,18.0,0.0,1.0,3.0,7.0
