sura_num,aya_num,median,std
2,152,8223.504149730163,1441.3513848172906
2,153,13619.822054048185,2485.4750529556522
2,154,15173.994001863066,1529.4092560815154
2,155,18264.915537318706,2762.3555298816077
2,156,16121.863880618199,3910.7347157221716
2,157,13817.316757520739,1103.0892286824142
2,158,25185.780899573354,2592.475125360258
2,159,27422.57705549874,4749.029474820383
2,160,14461.928400357285,2005.3557719867927
2,161,18379.618562469685,2755.679625632178
2,162,9880.847633436748,953.6540357446554
2,163,10907.989530158855,2154.9936053298934
2,164,60857.819915882385,9931.99259027194
2,165,34173.973848803376,4048.45062997178
2,166,12707.849249182673,1595.5155618937717
2,167,26684.451184296013,3526.0832653045
2,168,19870.89111254937,2653.26086306494
2,169,14777.518031107433,1853.7465038034836
2,170,24804.58027840474,2764.3083000467873
2,171,21405.151031671398,2323.0462191755137
2,172,17361.249933627267,1723.766059426735
2,173,27480.76333560817,2537.8692897020915
2,174,35027.49780140625,5328.375691072003
2,175,15551.029981387743,1857.3525767070148
2,176,16561.80491661914,1739.7241217036944
2,177,73953.83740486996,10973.2102159298
2,178,43409.50218506903,4557.624241427158
2,179,10443.818633944647,1816.8675014610103
2,180,19333.602377782245,3136.592177650949
2,181,16733.216744572193,2145.293137645685
2,182,17387.902595009065,1927.9353545851263
2,183,15671.542762841043,5028.366617648532
2,184,39055.74506376899,4367.656377715016
2,185,48427.79366029819,9805.921488490414
2,186,23150.07484315257,11310.930448604557
2,187,75863.00087125182,8091.3351904346755
2,188,23083.544793063113,4066.8615693193315
2,189,29346.483026142105,3618.5703336747283
2,190,14464.73587996016,1565.6451587259114
2,191,32354.013488705314,3442.9023131668455
2,192,7068.23157100828,600.5586652837128
2,193,16773.820332376374,2349.9022496096286
2,194,23768.560731892405,2578.2695821747607
2,195,16207.598485646273,1995.5064162069682
2,196,74597.42624988861,7649.828315531712
2,197,33369.827574879935,3626.591711240203
2,198,33058.74517260517,4974.035550438417
2,199,14161.690693428975,1463.0366294162463
2,200,24894.427170075956,3865.0029874180186
2,201,17249.333791738012,3772.608094793503
2,202,11814.370799257284,1419.3805427548657
2,203,29332.842222163305,2962.9678309209817
2,204,15900.751590936625,3753.74547359426
2,205,14654.820388506956,1677.5556593547662
2,206,13676.201522185387,1626.153263856346
2,207,15077.10878950618,1567.8116428926335
2,208,20473.549902964824,3076.548594301319
2,209,15302.204045153641,1871.2812408046145
2,210,19878.659143293982,2526.9206449070057
2,211,23650.644430923752,2041.248719017025
2,212,22739.074516311575,3003.5466192390104
2,213,55096.2502156164,6395.7930158252175
2,214,39055.68344670111,6416.402717496857
